ticket_id,customer_message,category,priority
TKT-1761,The product does not match the images shown on website,Product/Service Complaint,High
TKT-1846,I am unhappy with discriminatory treatment at service center. Please help urgently.,Product/Service Complaint,Low
TKT-1790,The product color fades after first wash completely. Please help urgently.,Product/Service Complaint,Low
TKT-1439,The product stopped working in two days please refund,Refund Request,High
TKT-1088,I was charged late payment fee even though I paid on time,Payment Issue,High
TKT-1763,"Hi, i received a counterfeit product this is unacceptable",Product/Service Complaint,Low
TKT-1562,"Hi, my account was hacked please secure it immediately",Account/Login Issue,Low
TKT-1037,I made a payment using PayPal but order is not confirmed,Payment Issue,High
TKT-1582,I cannot update my profile information it shows error,Account/Login Issue,Medium
TKT-1600,The login OTP expires too quickly before I can enter it,Account/Login Issue,Medium
TKT-1822,The service callback promised within hour never happened. Please help urgently.,Product/Service Complaint,High
TKT-1210,The order packaging was damaged during transit,Order Issue,High
TKT-1594,The mobile app logout happens automatically every few minutes,Account/Login Issue,Low
TKT-1181,My order was cancelled without any notification,Order Issue,Medium
TKT-1255,I want to know why my order is on hold,Order Issue,Medium
TKT-1263,The order was picked up by wrong person at doorstep This is very disappointing.,Order Issue,High
TKT-1084,The payment did not go through but my bank limit was blocked,Payment Issue,High
TKT-1260,I need proof of delivery for my recent order,Order Issue,Medium
TKT-1576,My account verification document was rejected please help,Account/Login Issue,Medium
TKT-1398,The refund was processed but not reflected in my bank account,Refund Request,High
TKT-1806,The product WiFi connection drops constantly without fix,Product/Service Complaint,Medium
TKT-1799,The service repair took one month and issue returned immediately,Product/Service Complaint,Low
TKT-1052,Bank statement shows debit but your app shows payment pending. Please help urgently.,Payment Issue,High
TKT-1830,My complaint about hygiene standards was ignored completely,Product/Service Complaint,Medium
TKT-1796,Your complaint escalation process seems completely broken,Product/Service Complaint,Medium
TKT-1222,"Hi, my order was left outside in rain and products are wet",Order Issue,Low
TKT-1646,"Hi, i cannot access wallet balance after account merge attempt",Account/Login Issue,Low
TKT-1190,My order is stuck at warehouse for many days,Order Issue,Low
TKT-1589,My account shows wrong name and delivery address. Please help urgently.,Account/Login Issue,Low
TKT-1024,My wallet balance was used without my confirmation,Payment Issue,High
TKT-1036,Please verify my payment for order placed last night,Payment Issue,Medium
TKT-1611,I want to remove unauthorized device from my account,Account/Login Issue,High
TKT-1099,I was billed twice for the same subscription month,Payment Issue,Low
TKT-1461,"Hi, my partial refund was processed without explaining calculation",Refund Request,Low
TKT-1259,"Hi, my order for birthday gift will miss the event date",Order Issue,Low
TKT-1567,My account shows suspended without any reason given,Account/Login Issue,Low
TKT-1572,"Hi, my username is not recognized on the login page",Account/Login Issue,Low
TKT-1776,The item smells like chemicals and seems unsafe to use,Product/Service Complaint,Low
TKT-1224,The order tracking shows in transit for two weeks,Order Issue,High
TKT-1448,The refund policy page says instant but I am waiting weeks. Please help urgently.,Refund Request,Medium
TKT-1041,The auto debit for my subscription happened twice this month This is very disappointing.,Payment Issue,Low
TKT-1267,My international order is delayed at sorting facility,Order Issue,Low
TKT-1064,My transaction ID 8834521 shows success but no order confirmation email. Please help urgently.,Payment Issue,Medium
TKT-1440,I want refund for booking cancelled within free cancellation period,Refund Request,Low
TKT-1401,Please refund my order cancelled by seller without notice,Refund Request,Medium
TKT-1624,The account recovery form submission fails every time,Account/Login Issue,High
TKT-1023,I was charged sales tax incorrectly on my order,Payment Issue,Medium
TKT-1765,The product manual is missing and setup is impossible,Product/Service Complaint,High
TKT-1209,I need to change delivery time for my pending order,Order Issue,Medium
TKT-1560,I need to change the email address linked to my account,Account/Login Issue,High
TKT-1250,"Hi, my pre order item release date was changed without notice",Order Issue,Low
TKT-1785,The product dimensions are wrong and do not fit my space. Please help urgently.,Product/Service Complaint,High
TKT-1257,The tracking page says exception what does that mean for my order,Order Issue,High
TKT-1050,My payment method was charged but order ID was never generated,Payment Issue,Medium
TKT-1268,My international order is delayed at sorting facility. Please help urgently.,Order Issue,Low
TKT-1832,The service engineer left mess after repair visit,Product/Service Complaint,Low
TKT-1842,The item paint started peeling within a week,Product/Service Complaint,Low
TKT-1246,I need help with order placed using wrong account,Order Issue,Medium
TKT-1641,My account shows someone else recent activity,Account/Login Issue,Low
TKT-1184,The order shows shipped but tracking has no updates,Order Issue,Low
TKT-1080,My card ending 4521 was charged without my authorization,Payment Issue,High
TKT-1816,The product charger gets extremely hot while charging This is very disappointing.,Product/Service Complaint,Medium
TKT-1248,My pre order item release date was changed without notice,Order Issue,Low
TKT-1835,I am disappointed with durability of so called premium line,Product/Service Complaint,High
TKT-1608,I cannot link my payment method to account profile. Please help urgently.,Account/Login Issue,Low
TKT-1082,I was charged for warranty add on that I did not select,Payment Issue,Medium
TKT-1764,The customer service agent was rude during my call,Product/Service Complaint,Medium
TKT-1639,I cannot verify phone number OTP says invalid code. Please help urgently.,Account/Login Issue,High
TKT-1004,My payment was deducted but order is not confirmed This is very disappointing.,Payment Issue,Low
TKT-1797,Your complaint escalation process seems completely broken. Please help urgently.,Product/Service Complaint,Medium
TKT-1766,The product manual is missing and setup is impossible. Please help urgently.,Product/Service Complaint,High
TKT-1216,The courier refused to deliver to my apartment floor,Order Issue,High
TKT-1552,I forgot my password and cannot login to my account. Please help urgently.,Account/Login Issue,Low
TKT-1395,My refund request reference number RF8834 has no updates,Refund Request,Low
TKT-1186,My package was sent to the wrong delivery address,Order Issue,Medium
TKT-1380,I want a refund for wrong item sent in my order. Please help urgently.,Refund Request,High
TKT-1838,The product buttons are unresponsive after minimal use,Product/Service Complaint,Medium
TKT-1610,My account was deactivated please reactivate it,Account/Login Issue,Medium
TKT-1583,My account email was changed without my permission,Account/Login Issue,High
TKT-1617,I need to update date of birth on locked account,Account/Login Issue,Low
TKT-1175,My order is delayed since 5 days with no update. Please help urgently.,Order Issue,Low
TKT-1453,I need refund for warranty replacement that never arrived,Refund Request,High
TKT-1014,I was billed for an item I removed from my cart,Payment Issue,High
TKT-1559,My login credentials are correct but access is denied. Please help urgently.,Account/Login Issue,Medium
TKT-1424,"Hi, the refund email said seven days but it has been twenty",Refund Request,Low
TKT-1193,My express order is taking longer than standard delivery,Order Issue,Low
TKT-1185,"Hi, the order shows shipped but tracking has no updates",Order Issue,Low
TKT-1048,I was overcharged for the premium plan upgrade,Payment Issue,Low
TKT-1016,I was billed for an item I removed from my cart This is very disappointing.,Payment Issue,High
TKT-1017,Why was I charged after cancelling my order,Payment Issue,Low
TKT-1382,Please initiate refund for duplicate order placed by mistake,Refund Request,Low
TKT-1553,"Hi, i forgot my password and cannot login to my account",Account/Login Issue,Low
TKT-1045,I need a payment receipt for my recent purchase,Payment Issue,Medium
TKT-1445,My refund was sent to expired card need alternative method,Refund Request,High
TKT-1808,The item leaks water all over my floor when used,Product/Service Complaint,Low
TKT-1848,The item stitching came apart on first wear,Product/Service Complaint,Medium
TKT-1597,My account recovery phone number is no longer active,Account/Login Issue,High
TKT-1053,Bank statement shows debit but your app shows payment pending This is very disappointing.,Payment Issue,High
TKT-1628,I cannot login from abroad due to region restriction This is very disappointing.,Account/Login Issue,Low
TKT-1072,The payment summary page showed wrong total at checkout,Payment Issue,Low
TKT-1188,Items are missing from my delivered order box. Please help urgently.,Order Issue,High
TKT-1199,The delivery date keeps getting postponed every day,Order Issue,Medium
TKT-1214,My order ID 45231 is not showing in order history This is very disappointing.,Order Issue,Low
TKT-1630,I need to reset security questions on my account,Account/Login Issue,High
TKT-1013,Payment is stuck on processing for the last two hours,Payment Issue,Medium
TKT-1058,I paid the remaining balance but order still shows partial payment. Please help urgently.,Payment Issue,Low
TKT-1578,My account verification document was rejected please help This is very disappointing.,Account/Login Issue,Medium
